index,segment_index,segment_type,trigger_index,x_mm,y_mm
1,0,TRAJ,1,0.000002,0.000000
2,0,TRAJ,2,3.030305,0.000000
3,0,TRAJ,3,6.060608,0.000000
4,0,TRAJ,4,9.090911,0.000000
5,0,TRAJ,5,12.121214,0.000000
6,0,TRAJ,6,15.151517,0.000000
7,0,TRAJ,7,18.181820,0.000000
8,0,TRAJ,8,21.212122,0.000000
9,0,TRAJ,9,24.242426,0.000000
10,0,TRAJ,10,27.272732,0.000000
11,0,TRAJ,11,30.303032,0.000000
12,0,TRAJ,12,33.333336,0.000000
13,0,TRAJ,13,36.363640,0.000000
14,0,TRAJ,14,39.393944,0.000000
15,0,TRAJ,15,42.424240,0.000000
16,0,TRAJ,16,45.454544,0.000000
17,0,TRAJ,17,48.484848,0.000000
18,0,TRAJ,18,51.515152,0.000000
19,0,TRAJ,19,54.545456,0.000000
20,0,TRAJ,20,57.575764,0.000000
21,0,TRAJ,21,60.606064,0.000000
22,0,TRAJ,22,63.636368,0.000000
23,0,TRAJ,23,66.666664,0.000000
24,0,TRAJ,24,69.696968,0.000000
25,0,TRAJ,25,72.727272,0.000000
26,0,TRAJ,26,75.757576,0.000000
27,0,TRAJ,27,78.787880,0.000000
28,0,TRAJ,28,81.818184,0.000000
29,0,TRAJ,29,84.848480,0.000000
30,0,TRAJ,30,87.878784,0.000000
31,0,TRAJ,31,90.909088,0.000000
32,0,TRAJ,32,93.939392,0.000000
33,0,TRAJ,33,96.969696,0.000000
34,0,TRAJ,34,100.000000,0.000000
35,0,TRAJ,35,100.000000,3.030304
36,0,TRAJ,36,100.000000,6.060608
37,0,TRAJ,37,100.000000,9.090912
38,0,TRAJ,38,100.000000,12.121208
39,0,TRAJ,39,100.000000,15.151512
40,0,TRAJ,40,100.000000,18.181816
41,0,TRAJ,41,100.000000,21.212120
42,0,TRAJ,42,100.000000,24.242424
43,0,TRAJ,43,100.000000,27.272728
44,0,TRAJ,44,100.000000,30.303024
45,0,TRAJ,45,100.000000,33.333328
46,0,TRAJ,46,100.000000,36.363632
47,0,TRAJ,47,100.000000,39.393936
48,0,TRAJ,48,100.000000,42.424240
49,0,TRAJ,49,100.000000,45.454544
50,0,TRAJ,50,100.000000,48.484848
51,0,TRAJ,51,100.000000,51.515152
52,0,TRAJ,52,100.000000,54.545456
53,0,TRAJ,53,100.000000,57.575764
54,0,TRAJ,54,100.000000,60.606064
55,0,TRAJ,55,100.000000,63.636368
56,0,TRAJ,56,100.000000,66.666672
57,0,TRAJ,57,100.000000,69.696960
58,0,TRAJ,58,100.000000,72.727264
59,0,TRAJ,59,100.000000,75.757568
60,0,TRAJ,60,100.000000,78.787872
61,0,TRAJ,61,100.000000,81.818176
62,0,TRAJ,62,100.000000,84.848480
63,0,TRAJ,63,100.000000,87.878784
64,0,TRAJ,64,100.000000,90.909088
65,0,TRAJ,65,100.000000,93.939392
66,0,TRAJ,66,100.000000,96.969696
67,0,TRAJ,67,100.000000,100.000000
68,0,TRAJ,68,96.969696,100.000000
69,0,TRAJ,69,93.939392,100.000000
70,0,TRAJ,70,90.909088,100.000000
71,0,TRAJ,71,87.878784,100.000000
72,0,TRAJ,72,84.848480,100.000000
73,0,TRAJ,73,81.818176,100.000000
74,0,TRAJ,74,78.787888,100.000000
75,0,TRAJ,75,75.757584,100.000000
76,0,TRAJ,76,72.727280,100.000000
77,0,TRAJ,77,69.696976,100.000000
78,0,TRAJ,78,66.666672,100.000000
79,0,TRAJ,79,63.636368,100.000000
80,0,TRAJ,80,60.606064,100.000000
81,0,TRAJ,81,57.575760,100.000000
82,0,TRAJ,82,54.545456,100.000000
83,0,TRAJ,83,51.515152,100.000000
84,0,TRAJ,84,48.484848,100.000000
85,0,TRAJ,85,45.454544,100.000000
86,0,TRAJ,86,42.424255,100.000000
87,0,TRAJ,87,39.393951,100.000000
88,0,TRAJ,88,36.363647,100.000000
89,0,TRAJ,89,33.333344,100.000000
90,0,TRAJ,90,30.303040,100.000000
91,0,TRAJ,91,27.272736,100.000000
92,0,TRAJ,92,24.242432,100.000000
93,0,TRAJ,93,21.212128,100.000000
94,0,TRAJ,94,18.181824,100.000000
95,0,TRAJ,95,15.151520,100.000000
96,0,TRAJ,96,12.121216,100.000000
97,0,TRAJ,97,9.090912,100.000000
98,0,TRAJ,98,6.060608,100.000000
99,0,TRAJ,99,3.030304,100.000000
100,0,TRAJ,100,0.000000,100.000000
101,0,TRAJ,101,0.000000,96.969696
102,0,TRAJ,102,0.000000,93.939392
103,0,TRAJ,103,0.000000,90.909088
104,0,TRAJ,104,0.000000,87.878784
105,0,TRAJ,105,0.000000,84.848480
106,0,TRAJ,106,0.000000,81.818176
107,0,TRAJ,107,0.000000,78.787872
108,0,TRAJ,108,0.000000,75.757568
109,0,TRAJ,109,0.000000,72.727264
110,0,TRAJ,110,0.000000,69.696960
111,0,TRAJ,111,0.000000,66.666656
112,0,TRAJ,112,0.000000,63.636353
113,0,TRAJ,113,0.000000,60.606079
114,0,TRAJ,114,0.000000,57.575775
115,0,TRAJ,115,0.000000,54.545471
116,0,TRAJ,116,0.000000,51.515167
117,0,TRAJ,117,0.000000,48.484863
118,0,TRAJ,118,0.000000,45.454563
119,0,TRAJ,119,0.000000,42.424255
120,0,TRAJ,120,0.000000,39.393951
121,0,TRAJ,121,0.000000,36.363647
122,0,TRAJ,122,0.000000,33.333344
123,0,TRAJ,123,0.000000,30.303040
124,0,TRAJ,124,0.000000,27.272736
125,0,TRAJ,125,0.000000,24.242432
126,0,TRAJ,126,0.000000,21.212128
127,0,TRAJ,127,0.000000,18.181824
128,0,TRAJ,128,0.000000,15.151520
129,0,TRAJ,129,0.000000,12.121216
130,0,TRAJ,130,0.000000,9.090912
131,0,TRAJ,131,0.000000,6.060608
132,0,TRAJ,132,0.000000,3.030304
133,0,TRAJ,133,0.000000,0.000000
134,0,TRAJ,134,2.127660,2.127660
135,0,TRAJ,135,4.255319,4.255319
136,0,TRAJ,136,6.382979,6.382979
137,0,TRAJ,137,8.510638,8.510638
138,0,TRAJ,138,10.638297,10.638297
139,0,TRAJ,139,12.765958,12.765958
140,0,TRAJ,140,14.893617,14.893617
141,0,TRAJ,141,17.021276,17.021276
142,0,TRAJ,142,19.148935,19.148935
143,0,TRAJ,143,21.276594,21.276594
144,0,TRAJ,144,23.404255,23.404255
145,0,TRAJ,145,25.531916,25.531916
146,0,TRAJ,146,27.659575,27.659575
147,0,TRAJ,147,29.787233,29.787233
148,0,TRAJ,148,31.914892,31.914892
149,0,TRAJ,149,34.042553,34.042553
150,0,TRAJ,150,36.170212,36.170212
151,0,TRAJ,151,38.297871,38.297871
152,0,TRAJ,152,40.425529,40.425529
153,0,TRAJ,153,42.553188,42.553188
154,0,TRAJ,154,44.680851,44.680851
155,0,TRAJ,155,46.808510,46.808510
156,0,TRAJ,156,48.936169,48.936169
157,0,TRAJ,157,51.063831,51.063831
158,0,TRAJ,158,53.191490,53.191490
159,0,TRAJ,159,55.319149,55.319149
160,0,TRAJ,160,57.446808,57.446808
161,0,TRAJ,161,59.574467,59.574467
162,0,TRAJ,162,61.702126,61.702126
163,0,TRAJ,163,63.829784,63.829784
164,0,TRAJ,164,65.957443,65.957443
165,0,TRAJ,165,68.085106,68.085106
166,0,TRAJ,166,70.212761,70.212761
167,0,TRAJ,167,72.340424,72.340424
168,0,TRAJ,168,74.468079,74.468079
169,0,TRAJ,169,76.595741,76.595741
170,0,TRAJ,170,78.723404,78.723404
171,0,TRAJ,171,80.851059,80.851059
172,0,TRAJ,172,82.978722,82.978722
173,0,TRAJ,173,85.106377,85.106377
174,0,TRAJ,174,87.234047,87.234047
175,0,TRAJ,175,89.361702,89.361702
176,0,TRAJ,176,91.489365,91.489365
177,0,TRAJ,177,93.617020,93.617020
178,0,TRAJ,178,95.744682,95.744682
179,0,TRAJ,179,97.872337,97.872337
180,0,TRAJ,180,100.000000,100.000000
